Class,_Fluctuation_Mean,_MFCC_Mean_2,_MFCC_Mean_4,_MFCC_Mean_7,_Roughness_Mean,_Roughness_Slope,_Zero-crossingrate_Mean,_AttackTime_Mean,_Eventdensity_Mean,_Pulseclarity_Mean,_Chromagram_Mean_7,_HarmonicChangeDetectionFunction_Mean,_HarmonicChangeDetectionFunction_PeriodAmp
relax,9.136,0.363,0.078,-0.151,51.542,0.325,403.129,0.028,1.336,0.082,0.024,0.316,0.593
relax,6.68,0.516,0.397,-0.403,336.839,0.366,204.886,0.015,1.336,0.051,0.12,0.285,0.702
relax,10.578,0.903,0.329,-0.246,39.864,0.224,685.474,0.033,1.336,0.299,0.563,0.413,0.692
relax,10.442,1.552,0.351,0.047,353.744,0.215,579.859,0.029,2.105,0.121,0.276,0.422,0.743
relax,9.769,0.228,0.096,0.104,46.884,-0.118,430.536,0.04,1.37,0.208,0.135,0.345,0.674
relax,7.664,-0.082,0.033,-0.138,249.382,0.04,799.914,0.047,0.936,0.164,0.0,0.28,0.662
relax,7.483,1.171,0.358,0.115,336.252,0.272,323.755,0.052,1.303,0.157,0.137,0.21,0.691
relax,7.006,0.553,0.269,-0.002,293.372,0.345,478.257,0.021,2.071,0.123,0.359,0.366,0.711
relax,6.846,0.55,0.559,-0.196,737.908,0.38,402.43,0.022,1.704,0.163,0.0,0.322,0.796
relax,8.668,0.744,-0.116,0.147,215.057,0.185,826.605,0.037,1.27,0.223,0.0,0.388,0.627
relax,6.85,0.547,0.55,-0.197,685.05,0.337,402.879,0.023,1.671,0.113,0.0,0.319,0.807
relax,8.774,0.747,0.622,-0.444,182.241,0.086,874.842,0.021,2.773,0.162,0.619,0.47,0.812
relax,5.928,-0.32,0.012,-0.321,388.437,0.236,551.174,0.033,1.456,0.175,1.0,0.375,0.765
relax,8.58,0.211,0.657,-0.297,61.486,0.169,657.362,0.064,0.832,0.096,0.941,0.326,0.667
relax,6.203,0.024,0.248,0.105,39.363,0.005,1022.417,0.043,1.704,0.18,0.035,0.355,0.643
relax,8.026,0.484,0.269,-0.153,651.88,-0.074,560.395,0.031,1.671,0.182,0.0,0.297,0.741
relax,7.122,0.682,0.314,0.298,582.645,-0.013,520.1,0.031,1.504,0.169,0.009,0.364,0.758
relax,7.115,0.397,0.351,0.021,219.118,0.158,1302.348,0.031,1.737,0.139,0.605,0.4,0.78
relax,6.449,0.324,0.071,-0.083,110.173,0.263,611.246,0.055,1.236,0.089,0.002,0.344,0.689
relax,7.155,0.366,0.066,0.136,1545.974,0.093,1030.661,0.024,2.937,0.165,0.33,0.368,0.747
relax,7.344,0.805,0.598,-0.09,752.047,0.005,472.729,0.021,2.606,0.08,0.818,0.406,0.771
relax,5.49,-0.129,-0.289,-0.012,180.166,0.09,1829.275,0.028,3.308,0.265,0.247,0.387,0.807
relax,6.282,-0.323,-0.124,0.238,71.955,0.244,432.268,0.028,0.535,0.115,0.033,0.292,0.544
relax,5.938,0.753,-0.09,-0.205,544.329,0.092,1055.419,0.035,1.203,0.227,0.338,0.343,0.754
relax,7.76,0.801,0.453,-0.056,116.828,0.151,606.234,0.032,2.305,0.222,0.075,0.365,0.801
relax,5.944,0.357,-0.674,0.32,233.113,-0.133,453.897,0.031,1.303,0.198,0.266,0.289,0.667
relax,6.184,0.347,0.205,-0.187,654.388,0.363,420.379,0.036,1.537,0.057,0.0,0.255,0.736
relax,7.976,-0.271,0.329,-0.14,59.36,0.26,502.683,0.042,0.301,0.242,1.0,0.328,0.622
relax,8.807,0.644,0.007,0.325,800.582,-0.014,585.915,0.019,2.975,0.284,0.271,0.393,0.789
relax,10.02,1.153,-0.087,0.183,138.715,-0.023,503.682,0.03,1.737,0.103,0.151,0.395,0.689
relax,6.287,1.937,0.323,0.344,51.382,0.3,379.685,0.046,0.668,0.118,0.0,0.221,0.649
relax,9.588,0.174,0.522,0.078,373.142,0.387,468.466,0.027,1.604,0.164,0.243,0.369,0.787
relax,8.34,0.538,0.259,0.08,186.8,-0.006,338.624,0.042,2.138,0.252,0.393,0.392,0.689
relax,5.388,0.901,0.469,0.19,233.732,-0.03,252.757,0.025,1.169,0.091,0.138,0.285,0.598
relax,7.724,0.203,0.064,0.049,363.099,0.39,328.334,0.024,1.604,0.146,0.072,0.342,0.618
relax,6.354,-0.063,0.24,0.061,335.184,0.033,413.502,0.056,1.27,0.084,0.044,0.389,0.754
relax,6.565,1.365,0.438,0.079,430.145,0.358,570.578,0.021,1.64,0.057,0.41,0.333,0.711
relax,9.537,0.787,-0.239,0.068,327.001,0.123,856.26,0.046,1.203,0.244,0.158,0.321,0.632
relax,9.942,0.425,0.26,-0.287,166.456,0.194,551.969,0.027,2.305,0.091,1.0,0.37,0.757
relax,10.837,0.26,0.537,-0.017,20.982,0.089,937.216,0.027,0.902,0.11,0.0,0.244,0.53
relax,6.921,0.319,0.248,0.256,91.262,-0.141,357.44,0.018,2.639,0.349,0.0,0.306,0.703
relax,5.879,0.656,0.27,0.023,918.3,0.16,750.445,0.023,3.007,0.191,0.015,0.375,0.773
relax,6.686,0.04,0.277,-0.034,466.864,0.264,905.879,0.024,1.804,0.096,0.178,0.28,0.652
relax,8.958,0.726,0.238,0.277,244.724,0.34,853.779,0.051,1.437,0.225,0.102,0.366,0.737
relax,9.297,-0.081,-0.003,0.245,336.35,0.015,974.613,0.034,2.339,0.07,0.636,0.388,0.758
relax,6.055,-0.212,-0.401,-0.042,154.327,0.426,729.132,0.052,1.69,0.256,0.159,0.347,0.782
relax,7.448,0.07,-0.038,-0.05,481.229,0.292,585.154,0.027,1.838,0.074,0.218,0.405,0.735
relax,8.487,0.599,-0.526,-0.092,186.367,0.15,1021.485,0.122,1.002,0.075,0.245,0.372,0.652
relax,6.072,-0.659,0.122,0.362,267.331,-0.096,769.061,0.023,1.37,0.117,0.003,0.325,0.698
relax,6.613,1.411,0.308,-0.196,101.672,0.105,678.997,0.063,1.169,0.119,0.216,0.31,0.666
relax,6.03,-0.06,0.207,0.341,331.031,0.067,383.498,0.029,2.105,0.106,0.014,0.357,0.764
relax,7.913,0.68,0.227,0.041,1038.096,0.135,1331.508,0.027,2.235,0.373,0.257,0.364,0.812
relax,5.593,-1.088,-0.051,-0.162,425.328,0.574,779.534,0.025,1.771,0.146,0.47,0.401,0.757
relax,5.593,-1.088,-0.051,-0.162,425.328,0.574,779.534,0.025,1.771,0.146,0.47,0.401,0.757
relax,9.556,-0.216,-0.018,-0.347,66.71,0.178,558.696,0.082,0.735,0.119,0.029,0.274,0.645
relax,10.126,1.037,-0.187,0.069,174.574,0.446,721.24,0.055,1.069,0.106,0.01,0.289,0.555
relax,7.238,0.234,0.093,0.005,247.823,0.318,613.344,0.019,2.84,0.149,0.544,0.352,0.81
relax,8.56,0.757,-0.127,-0.038,250.215,0.309,801.096,0.033,1.871,0.104,0.671,0.339,0.704
relax,6.382,-0.282,-0.23,0.477,75.209,0.216,802.455,0.03,3.384,0.248,0.484,0.34,0.765
relax,15.541,0.483,0.262,-0.097,47.839,-0.28,425.225,0.067,0.902,0.331,0.0,0.268,0.589
relax,15.541,0.483,0.262,-0.097,47.839,-0.28,425.225,0.067,0.902,0.331,0.0,0.268,0.589
relax,8.212,1.294,0.262,0.138,328.878,0.006,404.711,0.03,2.138,0.316,0.001,0.391,0.737
relax,7.711,-0.007,0.58,-0.02,2.772,0.018,391.616,0.061,0.495,0.011,0.0,0.212,0.637
relax,6.666,0.708,0.524,-0.253,468.716,-0.045,398.533,0.028,2.138,0.572,0.01,0.278,0.705
relax,6.237,-0.51,-0.043,0.053,1084.9,-0.01,766.813,0.024,2.071,0.12,0.765,0.312,0.629
relax,8.114,0.866,0.166,0.078,72.273,0.148,628.296,0.041,1.771,0.124,0.557,0.309,0.652
relax,6.464,0.391,0.127,0.311,290.716,0.108,309.935,0.033,0.668,0.058,0.047,0.269,0.748
relax,6.464,0.391,0.127,0.311,290.716,0.108,309.935,0.033,0.668,0.058,0.047,0.269,0.748
relax,9.05,0.294,0.134,-0.101,369.295,0.273,1092.833,0.026,2.673,0.139,0.477,0.394,0.792
relax,7.668,1.46,0.061,-0.296,658.714,0.127,640.584,0.024,2.172,0.181,0.122,0.357,0.76
relax,9.919,0.682,0.675,0.077,501.195,0.315,896.754,0.023,3.207,0.186,0.01,0.386,0.781
relax,9.673,0.56,-0.002,0.101,900.87,0.155,712.831,0.024,2.172,0.102,0.03,0.369,0.742
relax,8.525,0.722,0.563,0.16,93.563,0.072,555.183,0.019,3.542,0.269,0.39,0.392,0.801
relax,6.149,0.9,0.417,0.393,34.631,0.515,640.817,0.039,2.105,0.135,0.0,0.35,0.691
relax,6.69,-0.307,0.148,-0.025,609.163,0.092,1109.467,0.024,3.074,0.136,0.048,0.384,0.769
relax,6.892,0.563,-0.035,0.076,668.923,0.251,417.515,0.027,1.804,0.198,0.471,0.346,0.741
relax,7.025,1.02,0.369,0.019,120.26,0.073,307.188,0.027,2.138,0.17,0.0,0.307,0.688
relax,6.424,0.138,-0.629,-0.089,126.695,0.249,538.266,0.066,0.368,0.197,0.0,0.295,0.661
relax,9.572,-0.45,0.578,0.026,95.713,0.296,1064.06,0.037,1.169,0.185,0.041,0.356,0.666
relax,7.245,0.675,0.262,0.136,2164.934,0.279,610.746,0.028,1.504,0.076,0.703,0.365,0.682
relax,8.957,0.739,0.176,0.282,74.391,-0.075,322.673,0.075,1.437,0.226,0.163,0.319,0.746
relax,6.341,0.468,0.487,0.073,24.192,0.476,1055.169,0.023,0.702,0.218,0.721,0.271,0.654
relax,6.988,0.462,0.257,0.385,31.84,0.18,459.308,0.068,0.401,0.04,0.024,0.259,0.654
relax,8.45,0.482,-0.083,-0.01,126.163,-0.012,374.273,0.051,0.802,0.09,0.798,0.363,0.736
relax,7.844,0.507,0.279,0.044,89.59,-0.017,326.436,0.024,1.938,0.167,0.635,0.357,0.767
relax,5.742,0.396,-0.668,0.343,225.903,-0.214,469.648,0.036,1.403,0.178,0.269,0.28,0.677
relax,6.745,-0.462,0.165,-0.1,406.58,0.291,1012.693,0.023,4.377,0.322,0.085,0.318,0.733
relax,6.718,0.407,-0.182,0.019,93.376,0.01,1016.24,0.055,1.236,0.074,0.962,0.321,0.723
relax,17.573,0.725,0.223,0.276,239.939,0.348,853.047,0.086,1.37,0.236,0.099,0.366,0.722
relax,6.758,0.392,0.482,-0.076,12.209,0.135,550.321,0.038,0.301,0.36,0.955,0.265,0.548
relax,9.551,-0.211,-0.019,-0.345,67.721,0.162,561.71,0.086,0.768,0.117,0.03,0.276,0.645
relax,6.579,-0.494,-0.181,-0.04,818.987,0.084,936.266,0.044,2.372,0.118,0.014,0.342,0.725
relax,8.454,0.809,0.178,0.067,72.538,0.166,631.464,0.042,1.719,0.13,0.576,0.313,0.62
relax,10.157,0.76,0.669,0.076,518.699,0.285,888.133,0.021,3.179,0.189,0.01,0.38,0.785
relax,6.343,0.114,-0.641,-0.082,123.462,0.229,530.973,0.07,0.334,0.201,0.0,0.295,0.667
relax,7.828,0.73,-0.188,-0.199,440.663,0.217,767.329,0.027,1.671,0.122,0.626,0.302,0.706
relax,8.738,0.174,0.199,-0.029,733.194,0.238,598.957,0.018,2.907,0.25,0.175,0.397,0.788
relax,6.363,0.496,0.025,-0.025,169.803,0.52,1244.454,0.035,2.439,0.217,0.341,0.32,0.771
relax,6.706,0.512,0.036,0.165,1009.165,0.344,594.395,0.025,2.773,0.139,0.245,0.364,0.757
relax,7.078,-0.116,-0.087,0.116,408.91,-0.128,690.736,0.029,1.737,0.191,0.4,0.333,0.677
happy,7.854,-0.002,0.123,0.018,687.145,0.007,1293.989,0.02,4.009,0.45,0.156,0.339,0.833
happy,7.854,-0.002,0.123,0.018,687.145,0.007,1293.989,0.02,4.009,0.45,0.156,0.339,0.833
happy,8.757,-0.288,0.153,0.059,369.749,0.095,1149.428,0.022,4.444,0.404,0.281,0.436,0.842
happy,8.827,0.45,0.201,0.014,1421.176,-0.052,2129.236,0.02,3.809,0.746,0.02,0.31,0.838
happy,7.576,-0.152,-0.361,-0.041,767.316,0.05,2149.15,0.029,3.174,0.462,0.839,0.378,0.812
happy,6.649,0.065,-0.0,-0.006,1041.674,0.236,1197.582,0.031,3.742,0.436,0.112,0.346,0.824
happy,7.628,0.215,0.089,-0.001,459.201,0.32,1584.477,0.025,2.005,0.602,0.138,0.378,0.803
happy,5.374,-0.439,-0.55,0.082,371.021,0.041,1958.833,0.023,4.744,0.414,0.135,0.319,0.821
happy,8.529,0.411,-0.137,0.113,1998.171,0.135,1570.523,0.024,3.809,0.429,0.071,0.339,0.818
happy,6.709,0.156,-0.075,0.449,88.295,0.153,1429.326,0.027,4.21,0.353,0.358,0.364,0.833
happy,7.346,0.214,0.19,0.183,226.424,0.064,1425.525,0.027,4.533,0.546,0.345,0.333,0.818
happy,7.911,0.069,0.034,-0.106,1276.603,0.236,1271.927,0.031,3.241,0.479,0.019,0.349,0.843
happy,6.849,0.156,0.176,0.074,539.472,0.171,2049.163,0.024,4.21,0.46,0.056,0.332,0.829
happy,9.247,-0.533,-0.243,-0.036,203.745,-0.044,1552.391,0.03,2.907,0.758,0.057,0.314,0.823
happy,6.77,-0.564,0.073,0.009,389.512,0.006,1254.877,0.029,3.809,0.328,0.523,0.384,0.851
happy,7.888,0.42,0.148,-0.003,781.934,-0.236,1054.986,0.02,3.775,0.653,0.204,0.339,0.851
happy,6.334,0.42,0.282,-0.407,404.469,0.007,1045.911,0.022,5.279,0.128,0.013,0.338,0.799
happy,7.055,-0.1,-0.121,0.398,395.602,0.062,1198.897,0.023,2.305,0.371,0.952,0.396,0.829
happy,10.962,-0.017,0.361,0.128,761.875,-0.079,1487.037,0.052,2.406,0.856,0.442,0.396,0.827
happy,6.039,0.514,0.068,-0.089,406.817,0.087,1672.309,0.029,4.377,0.533,0.284,0.332,0.831
happy,5.592,-1.048,-0.697,-0.069,634.23,0.0,1870.668,0.019,4.611,0.341,0.187,0.386,0.827
happy,6.668,-0.41,-0.102,-0.146,122.245,0.056,1908.482,0.031,3.608,0.23,0.188,0.405,0.795
happy,7.241,-0.089,0.163,0.088,416.606,0.101,2661.708,0.033,2.74,0.375,1.0,0.348,0.851
happy,7.382,-0.166,-0.287,0.032,1639.517,-0.304,2364.027,0.026,4.477,0.403,0.867,0.343,0.841
happy,5.832,-0.17,-0.074,-0.141,3236.05,-0.264,1617.045,0.025,4.243,0.576,0.03,0.295,0.761
happy,6.75,-0.262,-0.182,0.137,830.228,0.282,1049.324,0.028,3.04,0.509,0.104,0.335,0.798
happy,7.864,-0.022,0.198,-0.064,461.348,0.35,1004.217,0.03,2.075,0.808,0.176,0.354,0.803
happy,8.767,0.491,0.234,0.062,1416.836,-0.057,1189.739,0.022,4.744,0.309,0.549,0.357,0.802
happy,7.027,-0.32,-0.034,0.157,891.42,0.001,2509.138,0.026,3.274,0.373,0.531,0.29,0.847
happy,6.451,0.073,0.074,-0.054,854.994,0.135,2139.093,0.027,3.475,0.562,0.261,0.345,0.824
happy,17.32,-0.87,-0.052,-0.07,115.269,-0.102,1022.217,0.024,3.575,0.256,0.171,0.318,0.818
happy,7.73,-0.537,0.123,-0.024,247.138,0.146,1159.768,0.03,4.176,0.276,0.795,0.401,0.856
happy,6.952,-0.253,-0.072,0.194,1056.306,0.268,2449.595,0.028,3.976,0.46,0.418,0.307,0.804
happy,7.982,-0.203,0.078,0.165,369.771,-0.048,2374.201,0.034,3.375,0.346,0.414,0.349,0.834
happy,7.245,-0.375,-0.27,-0.067,444.239,-0.047,2115.316,0.04,2.639,0.322,0.357,0.331,0.805
happy,6.699,0.109,-0.284,0.09,148.774,0.12,1944.963,0.033,3.308,0.423,0.429,0.35,0.816
happy,16.172,-0.384,0.128,0.232,319.039,-0.449,1413.374,0.025,4.778,0.113,0.775,0.369,0.828
happy,7.667,0.651,0.004,-0.032,400.77,0.042,1783.291,0.023,3.046,0.476,0.278,0.351,0.819
happy,9.218,-0.016,0.091,-0.12,511.221,-0.114,2245.658,0.024,3.742,0.496,0.52,0.323,0.865
happy,5.093,-0.269,-0.277,0.21,220.082,0.139,1646.167,0.021,4.732,0.194,0.54,0.314,0.799
happy,7.332,0.299,-0.428,-0.095,1281.621,-0.028,1323.744,0.022,5.546,0.633,0.24,0.345,0.853
happy,9.083,0.207,0.123,-0.001,1342.015,-0.201,2114.867,0.026,3.341,0.649,0.095,0.34,0.812
happy,8.885,0.458,0.052,-0.144,147.69,0.082,1961.964,0.028,2.372,0.175,1.0,0.362,0.757
happy,8.209,0.241,0.191,-0.005,1005.287,0.14,1306.927,0.025,3.775,0.2,0.007,0.329,0.826
happy,6.177,0.031,0.274,0.039,421.881,0.006,1744.872,0.021,3.508,0.514,0.005,0.324,0.823
happy,7.375,-0.136,-0.008,-0.074,274.732,0.185,1445.544,0.025,3.274,0.333,0.048,0.387,0.806
happy,5.776,0.193,0.397,0.16,315.597,0.083,1751.699,0.029,3.341,0.478,0.285,0.343,0.832
happy,6.09,-0.671,-0.13,-0.025,1154.732,0.142,1471.968,0.028,4.544,0.321,0.089,0.346,0.803
happy,8.662,0.482,-0.036,0.003,682.893,-0.184,1748.352,0.029,3.308,0.717,0.27,0.285,0.827
happy,5.682,0.446,-0.018,0.335,274.847,-0.195,2787.736,0.033,4.176,0.426,0.122,0.368,0.831
happy,7.507,-0.586,0.142,-0.087,277.225,0.068,1220.626,0.026,3.542,0.316,0.499,0.412,0.824
happy,7.217,-0.79,0.205,-0.19,372.237,0.244,1319.764,0.026,3.074,0.277,0.312,0.371,0.812
happy,7.736,-0.137,0.022,0.135,484.149,0.066,1454.934,0.029,4.511,0.355,0.25,0.387,0.871
happy,7.091,-0.336,-0.233,0.022,787.298,0.292,2225.4,0.028,3.855,0.411,0.488,0.405,0.818
happy,7.515,-0.213,0.041,0.011,38.261,0.108,1516.925,0.025,5.279,0.505,0.237,0.289,0.844
happy,6.436,0.31,-0.026,-0.013,245.307,0.205,1265.234,0.024,4.511,0.619,0.222,0.353,0.821
happy,6.693,0.339,-0.241,0.3,548.053,0.054,1116.144,0.022,3.842,0.48,0.018,0.326,0.81
happy,5.753,0.239,0.216,0.082,848.058,0.112,1805.914,0.025,3.475,0.629,0.482,0.332,0.833
happy,6.601,0.373,-0.185,0.089,1255.435,0.084,1714.085,0.021,5.079,0.492,0.178,0.303,0.843
happy,5.541,-0.276,-0.191,-0.043,218.001,0.133,1568.742,0.03,3.508,0.549,0.04,0.275,0.861
happy,7.431,-0.364,-0.194,-0.142,929.317,0.096,1945.363,0.028,4.043,0.485,0.088,0.317,0.835
happy,7.062,-0.275,-0.272,-0.424,953.01,0.032,1091.001,0.029,3.207,0.528,0.094,0.322,0.805
happy,6.478,0.159,-0.162,-0.149,2126.908,0.068,1699.449,0.025,4.544,0.363,0.357,0.335,0.867
happy,5.862,-0.033,-0.158,-0.137,1604.2,0.189,1038.019,0.019,4.511,0.21,0.031,0.329,0.831
happy,7.185,-0.579,-0.165,-0.114,665.377,0.183,2040.122,0.029,2.873,0.294,0.412,0.354,0.794
happy,7.986,0.284,0.069,0.169,44.168,-0.07,1589.222,0.022,1.704,0.306,0.062,0.358,0.816
happy,7.152,-0.197,0.132,0.174,613.673,0.105,1413.408,0.024,3.174,0.568,0.237,0.386,0.789
happy,6.187,0.262,0.254,0.32,242.328,-0.06,1037.652,0.033,1.804,0.293,0.006,0.442,0.851
happy,7.346,0.214,0.19,0.183,226.424,0.064,1425.525,0.027,4.533,0.546,0.345,0.333,0.818
happy,8.07,-0.168,0.187,0.013,670.481,-0.048,1292.191,0.029,3.207,0.548,0.141,0.372,0.859
happy,5.705,0.467,-0.257,-0.174,1127.011,0.269,1271.494,0.024,3.608,0.283,0.437,0.336,0.801
happy,5.742,-0.281,-0.112,0.073,963.344,-0.044,1704.911,0.022,4.11,0.325,0.499,0.331,0.808
happy,8.899,-0.364,-0.348,0.049,1072.542,0.081,1174.055,0.028,3.508,0.305,0.729,0.349,0.843
happy,9.462,-0.336,-0.279,-0.423,572.338,-0.119,1574.753,0.034,2.773,0.45,0.324,0.372,0.804
happy,7.103,0.23,0.173,0.051,1540.367,0.04,1365.237,0.028,5.045,0.655,0.038,0.308,0.87
happy,7.17,-0.162,-0.002,-0.066,2234.113,-0.139,1437.961,0.023,4.004,0.519,0.013,0.31,0.766
happy,8.023,-0.278,-0.125,-0.141,1704.497,0.005,1517.991,0.025,4.11,0.254,1.0,0.445,0.813
happy,16.531,-0.638,-0.001,-0.123,464.729,0.155,1239.009,0.023,3.876,0.242,0.448,0.441,0.859
happy,7.55,-0.024,-0.114,-0.178,957.68,0.174,2155.528,0.036,3.207,0.189,0.23,0.425,0.813
happy,7.538,0.242,0.212,0.15,547.723,-0.141,1514.61,0.022,2.807,0.386,0.155,0.342,0.825
happy,8.058,0.069,-0.374,0.017,517.942,-0.078,2016.944,0.03,4.511,0.37,0.861,0.342,0.841
happy,7.041,-0.51,-0.287,-0.22,420.395,0.367,2259.311,0.038,2.038,0.183,1.0,0.356,0.796
happy,7.189,0.237,0.372,-0.261,476.697,0.001,1310.473,0.033,2.84,0.157,0.66,0.381,0.837
happy,4.918,-0.18,0.03,0.073,1436.733,0.03,1814.089,0.021,6.682,0.55,0.418,0.353,0.862
happy,9.634,0.289,-0.308,0.07,166.095,0.003,2084.779,0.027,3.308,0.378,0.122,0.348,0.828
happy,6.996,-0.119,-0.299,0.183,325.112,0.314,1492.515,0.026,3.943,0.255,0.202,0.376,0.833
happy,6.38,-0.219,-0.075,-0.075,91.937,0.253,2228.641,0.028,1.971,0.185,1.0,0.365,0.797
happy,7.482,-0.768,0.019,-0.265,338.026,0.126,1310.84,0.028,3.408,0.256,0.119,0.372,0.818
happy,16.487,-0.684,-0.11,-0.009,386.45,-0.006,1212.784,0.028,3.876,0.331,0.108,0.395,0.831
happy,16.487,-0.684,-0.11,-0.009,386.45,-0.006,1212.784,0.028,3.876,0.331,0.108,0.395,0.831
happy,6.358,-0.728,-0.055,-0.133,365.785,0.03,1258.257,0.032,2.94,0.279,0.021,0.418,0.794
happy,6.927,-0.512,0.051,0.056,662.67,0.06,1517.491,0.022,3.775,0.114,0.145,0.345,0.787
happy,6.927,-0.512,0.051,0.056,662.67,0.06,1517.491,0.022,3.775,0.114,0.145,0.345,0.787
happy,17.793,-0.783,0.249,-0.03,487.81,0.255,1196.916,0.027,3.575,0.262,0.46,0.371,0.844
happy,7.323,0.244,-0.113,0.08,445.17,0.069,799.282,0.036,2.339,0.242,0.0,0.342,0.769
happy,6.078,0.142,0.101,0.207,227.615,0.114,3147.907,0.027,3.842,0.479,0.415,0.368,0.823
happy,6.881,-0.554,0.049,0.0,761.277,-0.03,1520.105,0.022,3.842,0.34,0.194,0.386,0.818
