Class,_Fluctuation_Mean,_MFCC_Mean_2,_MFCC_Mean_4,_MFCC_Mean_7,_Roughness_Mean,_Roughness_Slope,_Zero-crossingrate_Mean,_AttackTime_Mean,_Eventdensity_Mean,_Pulseclarity_Mean,_Chromagram_Mean_7,_HarmonicChangeDetectionFunction_Mean,_HarmonicChangeDetectionFunction_PeriodAmp
happy,7.565,-0.023,0.043,-0.177,347.14,-0.031,1157.171,0.025,3.709,0.121,0.681,0.354,0.807
happy,7.622,0.332,0.16,0.16,936.505,0.077,1246.268,0.023,3.241,0.73,0.096,0.356,0.846
happy,8.114,-2.033,0.094,0.17,707.551,-0.004,1810.359,0.029,3.742,0.593,0.112,0.488,0.789
sad,10.08,0.961,-0.016,0.03,668.176,-0.184,677.665,0.022,3.241,0.255,0.038,0.402,0.786
sad,7.058,0.512,0.453,0.266,841.757,0.163,1037.819,0.039,2.205,0.161,0.258,0.347,0.76
sad,6.134,-0.501,-0.34,0.298,214.023,0.115,290.631,0.013,1.701,0.097,0.282,0.264,0.572
sad,6.458,0.059,0.159,0.381,141.774,0.066,471.83,0.023,1.136,0.109,0.158,0.283,0.644
sad,9.697,0.903,-0.042,-0.044,43.935,0.048,331.648,0.029,1.403,0.069,1.0,0.363,0.721
sad,7.768,0.068,0.151,0.012,245.993,-0.022,510.726,0.029,3.241,0.215,0.175,0.359,0.757
sad,7.452,0.26,-0.276,0.435,66.106,-0.022,1223.957,0.052,1.47,0.23,0.035,0.413,0.748
sad,8.985,-0.75,-0.093,0.117,200.249,0.433,1490.201,0.025,2.406,0.265,0.307,0.341,0.633
sad,6.575,-0.386,-0.012,0.338,91.878,0.584,904.53,0.027,1.871,0.206,0.0,0.398,0.773
sad,6.039,-0.104,-0.173,0.364,183.021,0.051,1792.81,0.037,2.005,0.12,0.618,0.259,0.678
sad,6.193,-0.748,-0.205,0.065,282.839,-0.332,658.201,0.04,1.838,0.206,0.0,0.371,0.69
sad,6.337,-0.879,-0.548,-0.288,1368.48,0.164,1646.5,0.041,1.938,0.107,0.364,0.412,0.793
sad,7.103,-0.898,-0.455,0.056,329.138,0.094,954.732,0.033,1.971,0.135,0.288,0.331,0.742
sad,5.976,-0.603,-0.09,-0.118,1081.124,0.117,725.869,0.02,2.138,0.159,0.344,0.297,0.719
sad,6.65,0.139,-0.016,0.1,745.346,0.361,978.143,0.023,1.904,0.335,0.554,0.36,0.791
sad,5.35,-0.027,-0.24,0.224,141.127,0.342,1800.585,0.042,2.773,0.146,0.154,0.305,0.653
sad,6.037,-3.484,-1.636,-0.105,306.191,-0.221,1608.753,0.043,1.537,0.144,0.587,0.355,0.703
sad,7.517,1.197,0.333,0.346,5.659,-0.011,1174.238,0.087,0.768,0.223,1.0,0.402,0.746
sad,8.072,-0.558,0.087,-0.115,32.797,0.378,1538.837,0.165,0.702,0.17,0.001,0.31,0.662
sad,6.934,0.629,-0.126,0.237,159.0,0.137,745.467,0.04,1.904,0.164,0.345,0.345,0.737
sad,7.169,-0.63,-0.229,-0.188,41.648,-0.048,985.003,0.08,3.04,0.079,0.0,0.352,0.708
sad,6.652,-0.265,0.103,-0.039,1052.604,0.263,905.979,0.027,2.038,0.113,0.128,0.359,0.822
sad,7.467,0.283,0.191,-0.005,55.388,0.17,1009.896,0.031,1.971,0.252,0.884,0.35,0.76
sad,6.481,0.135,0.012,0.185,842.793,0.103,625.412,0.021,3.796,0.221,0.754,0.364,0.793
sad,5.705,0.313,-0.021,-0.017,667.276,0.175,792.904,0.027,3.341,0.198,0.195,0.34,0.756
sad,7.843,0.955,-0.765,0.4,31.318,0.064,942.694,0.07,0.568,0.068,0.0,0.421,0.758
sad,7.535,0.584,0.341,0.073,367.68,-0.145,782.233,0.027,2.27,0.23,0.109,0.329,0.765
sad,7.798,-0.529,-0.308,-0.156,1411.754,-0.075,1600.861,0.022,5.112,0.176,0.154,0.416,0.837
sad,6.488,-0.203,0.035,-0.154,59.02,-0.026,596.46,0.029,1.57,0.142,0.035,0.31,0.679
sad,7.232,0.474,-0.313,0.074,30.51,0.131,885.132,0.047,1.236,0.162,0.097,0.401,0.692
sad,7.782,0.489,-0.013,0.352,78.066,0.082,691.652,0.047,1.002,0.095,0.406,0.265,0.644
sad,5.986,-0.644,-0.125,0.203,122.432,-0.075,705.455,0.039,3.074,0.276,0.106,0.379,0.783
sad,9.032,-0.497,-0.234,0.476,0.941,0.216,522.714,0.058,0.969,0.103,0.07,0.379,0.7
sad,6.867,0.345,0.418,-0.062,527.96,-0.127,287.424,0.024,2.305,0.123,0.599,0.356,0.744
sad,5.965,0.497,-0.114,0.112,872.198,0.129,639.968,0.03,1.336,0.166,0.225,0.324,0.695
sad,6.139,0.205,-0.305,0.049,595.033,0.007,1423.715,0.02,4.577,0.424,0.707,0.379,0.816
sad,6.609,-0.119,0.213,0.018,469.713,-0.034,662.846,0.061,1.169,0.118,0.116,0.376,0.774
sad,8.337,0.908,0.022,0.021,52.582,0.118,771.974,0.051,0.969,0.077,0.299,0.311,0.742
sad,7.004,-0.036,0.488,0.305,139.744,0.208,441.542,0.038,1.871,0.078,0.112,0.237,0.634
sad,5.449,-0.075,0.214,0.238,255.83,0.175,1879.093,0.023,4.076,0.303,0.2,0.323,0.779
sad,5.691,-0.424,0.033,0.229,781.446,-0.095,778.218,0.024,3.04,0.253,0.973,0.362,0.788
sad,8.1,0.15,0.071,0.09,1.338,0.137,800.014,0.083,1.27,0.102,0.466,0.387,0.696
sad,5.273,-0.474,-0.44,-0.14,232.804,-0.086,993.894,0.026,2.907,0.066,0.233,0.318,0.747
sad,6.081,-0.197,-0.258,-0.099,271.257,-0.122,857.625,0.024,3.742,0.086,0.96,0.367,0.782
sad,7.335,-0.329,-0.251,0.271,13.121,-0.322,840.375,0.131,1.37,0.089,0.0,0.183,0.639
sad,5.636,-0.207,-0.356,0.044,392.964,0.12,1297.136,0.03,3.441,0.1,0.029,0.354,0.735
sad,5.642,-0.959,-0.418,0.071,536.478,-0.165,1396.308,0.032,2.205,0.121,0.086,0.382,0.76
sad,5.612,-0.947,-0.43,0.089,515.277,-0.155,1401.969,0.032,2.138,0.118,0.087,0.388,0.751
sad,6.493,-0.588,0.353,0.306,241.256,0.126,660.731,0.024,2.539,0.188,0.485,0.299,0.799
sad,6.4,-0.708,0.411,0.243,59.152,0.159,692.634,0.031,2.406,0.126,0.639,0.298,0.793
sad,7.254,0.162,-0.034,0.197,56.706,0.033,632.292,0.024,1.504,0.232,0.149,0.342,0.692
sad,5.453,0.234,-0.263,0.086,1323.155,0.24,1025.897,0.021,3.542,0.278,0.171,0.367,0.795
sad,7.032,-0.17,0.129,0.028,650.816,0.049,1369.5,0.026,2.071,0.242,0.176,0.388,0.779
sad,7.835,0.808,0.196,0.099,535.701,-0.244,595.045,0.034,2.005,0.263,0.431,0.302,0.626
sad,10.012,-1.347,0.568,0.089,11.052,-0.284,843.189,0.036,1.47,0.142,0.026,0.321,0.717
sad,7.06,-0.492,-0.147,0.177,647.591,0.034,1222.808,0.03,3.174,0.225,0.338,0.358,0.857
sad,7.858,-0.445,-0.191,0.11,522.966,0.208,663.179,0.025,2.773,0.125,0.035,0.353,0.775
sad,9.466,-0.104,-0.289,0.116,10.175,-0.101,866.088,0.033,1.527,0.045,0.275,0.269,0.596
sad,8.01,0.758,-0.084,-0.094,91.922,-0.089,713.064,0.025,1.671,0.148,0.538,0.41,0.719
sad,6.073,-0.198,0.032,-0.014,1344.517,-0.043,1100.559,0.023,2.706,0.269,0.156,0.381,0.772
sad,7.986,0.1,0.176,0.066,254.121,0.344,716.145,0.022,3.241,0.222,0.14,0.311,0.823
sad,7.496,0.717,-0.021,-0.045,201.434,-0.035,481.237,0.078,0.936,0.325,0.217,0.324,0.742
sad,5.918,-0.283,-0.006,-0.027,224.485,0.261,879.454,0.025,1.303,0.243,0.0,0.284,0.737
sad,6.718,-0.6,0.133,0.217,220.103,0.373,894.24,0.025,3.241,0.077,0.012,0.348,0.733
sad,7.544,-0.076,-0.373,-0.033,50.36,0.037,1356.429,0.047,1.169,0.269,0.0,0.329,0.692
sad,6.554,0.544,-0.049,0.175,51.816,0.139,1507.867,0.031,2.873,0.315,0.015,0.363,0.812
sad,7.822,0.045,0.102,-0.128,114.209,0.122,1094.231,0.047,1.671,0.059,0.805,0.359,0.741
sad,6.168,0.894,0.242,-0.039,42.838,0.178,558.563,0.04,2.071,0.136,0.0,0.301,0.685
sad,7.863,0.406,0.098,-0.146,223.159,-0.249,595.627,0.046,1.604,0.158,0.029,0.33,0.721
sad,7.863,0.406,0.098,-0.146,223.159,-0.249,595.627,0.046,1.604,0.158,0.029,0.33,0.721
sad,6.965,0.01,-0.022,0.104,1187.979,0.004,872.461,0.031,2.673,0.264,0.423,0.371,0.779
sad,5.754,-0.397,-0.035,0.252,702.507,0.062,948.788,0.028,3.308,0.073,0.259,0.3,0.725
sad,6.383,-0.848,-0.481,-0.007,390.078,0.429,1125.018,0.034,3.174,0.173,0.492,0.338,0.707
sad,8.417,1.152,0.123,0.326,367.476,0.142,601.605,0.025,2.071,0.186,0.013,0.379,0.749
sad,9.276,0.985,0.016,0.329,82.101,-0.111,751.761,0.046,1.136,0.051,0.085,0.419,0.769
sad,7.33,0.233,0.317,-0.145,236.45,0.004,579.226,0.03,1.871,0.284,1.0,0.322,0.669
sad,6.453,-0.939,-0.683,0.13,31.732,-0.099,642.099,0.045,1.169,0.191,0.983,0.433,0.703
sad,15.547,-0.309,0.213,0.117,133.067,-0.331,1084.424,0.045,1.403,0.064,1.0,0.265,0.677
sad,4.931,-0.242,-0.204,0.035,167.346,-0.126,1360.309,0.023,3.876,0.095,0.065,0.302,0.726
sad,6.495,-0.128,0.098,0.055,341.447,0.14,1159.136,0.033,2.172,0.081,0.853,0.313,0.687
sad,10.261,0.729,0.334,0.111,266.97,0.382,889.745,0.032,2.673,0.239,0.237,0.325,0.751
sad,5.484,-0.07,0.097,0.152,1507.01,0.12,878.655,0.023,4.444,0.096,1.0,0.265,0.736
sad,6.502,-0.371,-0.308,0.2,12.698,0.208,1002.486,0.035,2.639,0.231,0.512,0.375,0.786
sad,5.797,-0.666,-0.169,0.571,59.289,0.044,834.198,0.064,0.535,0.029,0.172,0.331,0.742
sad,6.657,0.081,-0.157,0.148,222.96,-0.159,678.464,0.026,2.974,0.238,0.033,0.394,0.743
sad,8.618,0.759,0.081,-0.265,196.58,0.056,1378.808,0.038,1.637,0.367,0.368,0.33,0.733
sad,5.555,0.108,0.15,0.098,842.403,0.121,741.72,0.026,3.274,0.103,0.135,0.377,0.728
sad,7.516,-0.35,0.319,0.319,143.049,0.123,910.758,0.032,3.441,0.315,0.071,0.34,0.814
sad,23.475,-0.465,-1.093,-0.936,33.358,-0.027,1641.289,0.038,2.706,0.158,0.0,0.284,0.562
sad,5.608,-0.365,-0.12,-0.047,145.312,0.196,599.49,0.036,1.838,0.171,0.0,0.329,0.674
sad,10.23,0.551,-0.014,0.109,3.41,0.078,329.1,0.121,0.234,0.226,0.46,0.327,0.666
sad,5.942,-1.359,0.222,0.324,255.562,0.07,1157.304,0.043,2.138,0.084,0.407,0.301,0.722
sad,6.569,0.106,0.121,-0.072,242.898,0.109,1183.162,0.027,2.406,0.096,0.69,0.374,0.8
sad,7.256,0.044,0.094,0.011,363.952,-0.023,614.709,0.038,1.303,0.184,0.042,0.319,0.772
sad,8.254,-0.124,-0.283,-0.004,15.361,-0.114,1265.716,0.032,2.038,0.261,0.227,0.351,0.741
sad,7.463,1.068,0.11,0.11,288.278,0.243,1087.954,0.023,3.943,0.118,0.526,0.393,0.781
sad,7.312,0.525,-0.041,0.191,151.488,-0.272,564.84,0.037,2.138,0.278,0.135,0.316,0.693
sad,5.754,-0.397,-0.035,0.252,702.507,0.062,948.788,0.028,3.308,0.073,0.259,0.3,0.725
sad,6.723,0.256,0.139,0.028,88.762,0.004,1106.153,0.024,2.807,0.045,0.028,0.352,0.799
sad,7.704,0.465,-0.362,-0.124,49.544,0.177,1003.036,0.055,1.504,0.107,1.0,0.333,0.712
angry,4.88,0.358,0.474,0.19,356.833,-0.071,846.186,0.025,2.172,0.245,0.001,0.236,0.815
angry,6.116,0.339,0.086,0.228,518.076,0.098,319.127,0.026,0.768,0.306,0.0,0.198,0.822
angry,5.774,0.054,-0.054,0.07,254.987,0.257,759.12,0.03,2.105,0.139,0.198,0.272,0.696
angry,7.311,0.173,0.069,0.094,644.802,-0.032,1112.231,0.025,3.375,0.19,0.047,0.224,0.726
angry,4.744,-0.218,0.147,0.094,1382.163,0.051,725.036,0.021,5.68,0.451,0.0,0.302,0.871
angry,5.327,0.7,-0.027,0.17,750.108,-0.038,1017.871,0.016,3.308,0.262,0.021,0.311,0.82
angry,9.074,0.584,0.161,0.056,1558.145,0.004,521.815,0.023,3.174,0.327,0.13,0.273,0.747
angry,5.864,-0.209,0.223,0.094,532.739,0.003,442.758,0.018,4.243,0.297,0.052,0.308,0.872
angry,4.776,-0.088,-0.05,0.191,113.986,0.226,363.217,0.021,5.546,0.142,0.0,0.204,0.802
angry,4.178,-0.141,-0.296,-0.079,845.899,0.211,806.608,0.018,3.709,0.379,0.133,0.277,0.864
angry,6.218,0.453,0.152,0.318,2152.376,-0.0,443.673,0.016,4.477,0.269,0.003,0.212,0.826
angry,6.246,0.633,0.395,0.297,1078.431,-0.029,323.772,0.019,3.542,0.141,0.127,0.312,0.821
angry,5.495,-0.51,0.117,0.105,231.48,0.046,823.815,0.025,1.956,0.248,0.068,0.29,0.821
angry,4.779,0.37,0.17,0.255,959.982,-0.001,402.929,0.015,3.274,0.085,0.003,0.382,0.791
angry,4.688,0.121,0.041,0.147,197.892,-0.029,1258.007,0.03,1.904,0.106,0.105,0.265,0.804
angry,5.617,0.01,0.067,0.083,1161.827,-0.225,801.979,0.018,3.274,0.3,0.111,0.291,0.811
angry,4.515,0.093,0.102,0.051,364.836,0.064,818.463,0.02,2.94,0.146,0.002,0.188,0.793
angry,6.352,0.26,0.241,0.025,1324.405,0.111,659.566,0.022,4.11,0.474,0.002,0.277,0.845
angry,6.009,0.266,0.224,0.123,499.446,-0.296,487.681,0.026,3.274,0.394,0.042,0.212,0.785
angry,5.105,-0.223,0.063,0.277,377.712,0.174,698.595,0.024,2.773,0.221,0.09,0.265,0.849
angry,17.599,0.614,0.079,0.092,329.488,0.385,420.443,0.016,3.272,0.355,0.052,0.262,0.794
angry,6.674,-0.157,0.046,0.138,1116.048,0.01,940.479,0.021,4.811,0.146,0.445,0.288,0.85
angry,4.914,0.291,0.225,0.098,804.745,-0.168,1379.457,0.02,5.546,0.439,0.038,0.287,0.82
angry,4.966,0.47,0.026,0.098,933.083,-0.245,1529.18,0.021,4.678,0.306,0.0,0.262,0.849
angry,3.58,0.502,-0.116,-0.138,420.952,-0.242,891.3,0.022,3.944,0.412,0.179,0.245,0.866
angry,5.17,0.3,0.035,0.142,109.303,-0.243,1051.789,0.021,4.143,0.262,0.0,0.212,0.857
angry,5.817,-0.013,-0.194,-0.023,258.74,0.008,582.656,0.027,3.241,0.272,0.25,0.306,0.79
angry,4.531,0.357,-0.127,-0.028,624.396,0.039,927.675,0.021,3.575,0.393,0.198,0.265,0.864
angry,6.237,0.003,-0.092,0.238,861.0,0.051,1333.701,0.014,6.047,0.27,0.0,0.267,0.799
angry,6.75,0.005,-0.647,-0.848,293.766,-0.02,682.794,0.044,3.207,0.126,0.004,0.258,0.705
angry,4.399,0.009,-0.032,-0.058,47.909,0.218,1266.48,0.025,1.826,0.235,0.267,0.308,0.722
angry,5.997,-0.55,-0.215,-0.057,522.821,-0.024,561.194,0.026,4.978,0.377,0.246,0.273,0.856
angry,7.838,-0.068,0.423,-0.042,1521.069,0.036,149.49,0.016,4.778,0.319,0.006,0.318,0.797
angry,5.167,-0.077,0.316,-0.035,885.976,0.143,380.734,0.017,3.375,0.067,0.055,0.267,0.782
angry,8.996,-0.338,-0.076,0.131,678.732,-0.055,632.908,0.042,2.239,0.214,0.154,0.375,0.759
angry,6.795,-0.019,0.272,0.055,2150.544,0.011,951.868,0.018,4.711,0.221,0.029,0.253,0.863
angry,6.862,-0.197,-0.174,0.247,241.849,0.035,906.462,0.059,1.036,0.157,0.008,0.328,0.83
angry,4.979,-0.096,0.081,0.171,998.358,0.138,814.367,0.021,3.107,0.354,0.0,0.271,0.804
angry,5.729,-0.197,-0.128,0.099,851.747,-0.112,1527.381,0.021,3.141,0.077,0.277,0.373,0.844
angry,7.433,-0.19,-0.291,0.114,54.649,0.151,917.009,0.027,2.102,0.497,0.473,0.224,0.784
angry,4.444,0.118,-0.185,0.114,1802.253,0.07,382.749,0.01,6.315,0.156,0.166,0.402,0.834
angry,4.444,0.118,-0.185,0.114,1802.253,0.07,382.749,0.01,6.315,0.156,0.166,0.402,0.834
angry,5.074,0.283,-0.101,0.235,324.946,0.302,662.33,0.016,3.508,0.469,0.014,0.202,0.734
angry,4.86,0.044,0.306,0.193,82.682,-0.055,492.676,0.016,5.346,0.15,0.01,0.325,0.846
angry,5.069,0.021,0.018,0.211,401.104,0.13,737.091,0.019,1.303,0.202,0.097,0.286,0.829
angry,5.542,0.147,0.131,0.117,221.549,0.164,887.896,0.023,2.105,0.112,0.161,0.404,0.835
angry,5.905,0.136,0.155,0.334,224.882,0.064,1321.446,0.027,2.239,0.135,0.237,0.314,0.74
angry,5.435,0.321,0.356,0.283,314.295,0.089,319.726,0.026,2.573,0.42,0.0,0.271,0.814
angry,5.051,0.502,0.167,0.169,1461.857,0.085,999.023,0.018,3.876,0.21,0.319,0.344,0.858
angry,5.852,-0.481,0.064,0.209,158.247,0.212,483.635,0.027,1.303,0.156,0.028,0.289,0.862
angry,6.126,-0.356,0.157,0.281,353.425,-0.118,366.881,0.034,2.573,0.099,0.0,0.134,0.692
angry,4.594,0.059,0.09,0.095,335.515,-0.069,988.866,0.016,3.375,0.205,0.024,0.263,0.774
angry,4.954,0.568,-0.088,0.08,1592.117,0.125,1217.646,0.024,2.606,0.149,0.699,0.322,0.873
angry,7.468,0.06,1.126,0.167,171.521,-0.284,1430.275,0.034,4.043,0.314,0.0,0.246,0.754
angry,4.173,-0.365,0.07,0.027,992.638,0.008,498.055,0.015,6.854,0.131,0.209,0.344,0.881
angry,4.653,-0.124,-0.138,0.249,3899.847,0.009,1456.067,0.016,5.079,0.109,0.012,0.262,0.841
angry,6.245,0.083,-0.267,0.264,2600.142,0.292,1179.866,0.02,2.94,0.39,0.032,0.253,0.686
angry,4.793,0.11,0.166,0.037,552.166,-0.186,621.835,0.016,5.981,0.161,0.001,0.208,0.886
angry,4.868,0.033,0.266,0.106,418.66,-0.025,278.382,0.027,2.439,0.221,0.024,0.299,0.834
angry,5.115,0.38,0.288,0.058,1058.672,0.064,1790.728,0.018,4.477,0.292,0.0,0.216,0.821
angry,5.115,0.38,0.288,0.058,1058.672,0.064,1790.728,0.018,4.477,0.292,0.0,0.216,0.821
angry,4.815,-0.284,-0.103,0.081,122.277,0.017,422.078,0.014,7.952,0.218,0.224,0.384,0.864
angry,5.795,-0.112,0.058,0.186,469.49,-0.346,565.123,0.047,3.308,0.196,0.033,0.258,0.86
angry,5.671,-0.101,0.075,0.234,627.905,0.05,553.152,0.029,4.009,0.179,0.05,0.306,0.865
angry,4.83,0.045,0.071,0.189,777.825,-0.126,1023.166,0.017,2.439,0.168,0.141,0.26,0.852
angry,4.468,-0.227,-0.012,0.212,1726.125,-0.21,334.395,0.014,3.174,0.1,0.028,0.257,0.863
angry,4.362,-0.227,-0.014,0.213,1784.157,-0.186,337.609,0.013,3.274,0.1,0.026,0.259,0.861
angry,6.279,-0.318,0.061,0.293,1361.197,-0.525,325.737,0.014,2.974,0.1,0.063,0.281,0.746
angry,5.066,-0.518,-0.22,0.055,703.842,0.332,892.742,0.028,2.74,0.222,0.002,0.29,0.761
angry,5.452,-0.372,0.413,0.459,758.492,0.117,550.138,0.034,3.207,0.321,0.0,0.112,0.739
angry,5.321,0.079,-0.003,-0.089,1866.417,0.138,1200.662,0.026,3.308,0.155,0.011,0.223,0.719
angry,5.112,0.132,-0.128,0.249,481.621,0.231,619.754,0.015,5.479,0.237,0.0,0.296,0.718
angry,4.388,-0.55,-0.212,0.116,573.027,0.056,763.782,0.02,2.606,0.127,0.003,0.298,0.85
angry,5.931,-0.584,-0.047,0.123,151.496,-0.008,493.825,0.021,1.437,0.416,0.006,0.259,0.781
angry,4.84,0.127,-0.047,0.172,664.148,-0.267,734.461,0.019,4.444,0.205,0.002,0.204,0.751
angry,5.782,-0.101,0.129,0.101,246.988,-0.111,279.531,0.022,6.114,0.756,0.118,0.264,0.848
angry,5.133,0.406,-0.051,0.191,863.13,-0.095,388.493,0.019,5.413,0.362,0.011,0.437,0.908
angry,4.841,0.27,0.089,0.132,72.402,0.211,1462.66,0.023,1.838,0.053,0.227,0.254,0.875
angry,4.955,0.318,0.129,0.105,466.87,0.157,1179.299,0.022,3.976,0.137,0.0,0.268,0.793
angry,5.955,0.776,-0.33,0.141,210.928,0.327,416.949,0.026,2.406,0.392,0.001,0.231,0.75
angry,4.527,0.048,0.029,0.033,99.633,-0.08,2264.173,0.057,1.804,0.354,0.066,0.279,0.87
angry,6.586,0.181,0.221,0.128,1256.1,0.078,808.772,0.023,3.876,0.269,0.102,0.316,0.865
angry,6.586,0.181,0.221,0.128,1256.1,0.078,808.772,0.023,3.876,0.269,0.102,0.316,0.865
angry,5.554,0.296,0.277,0.128,431.592,-0.104,452.598,0.02,3.341,0.089,0.162,0.336,0.898
angry,6.516,-0.105,-0.223,0.077,458.392,-0.005,1025.664,0.025,3.308,0.117,0.446,0.345,0.816
angry,7.31,0.44,0.087,0.217,326.835,-0.011,336.909,0.025,2.94,0.257,0.108,0.37,0.831
angry,6.177,-0.314,-0.216,0.295,1451.29,0.227,795.219,0.019,4.31,0.441,0.065,0.275,0.822
angry,4.305,-0.488,0.296,0.074,283.025,-0.157,496.889,0.033,1.504,0.161,0.0,0.263,0.728
angry,3.987,-0.092,-0.116,0.254,202.549,0.024,375.006,0.021,2.573,0.356,0.214,0.29,0.812
angry,7.679,-0.105,-0.087,-0.048,291.883,0.068,1749.418,0.038,2.773,0.254,0.13,0.332,0.764
angry,5.831,-0.386,-0.105,-0.019,1228.459,0.11,875.741,0.022,2.974,0.135,0.007,0.314,0.794
angry,5.581,0.172,0.218,0.115,176.401,-0.027,910.624,0.028,2.071,0.184,0.477,0.318,0.808
angry,6.844,-0.31,0.006,0.025,302.056,-0.24,1073.851,0.02,3.074,0.367,0.001,0.346,0.824
angry,5.102,-0.037,-0.073,0.143,83.64,-0.068,568.553,0.033,0.401,0.338,0.0,0.197,0.831
angry,4.437,0.576,0.432,-0.108,216.486,0.079,1205.891,0.016,5.045,0.27,0.001,0.383,0.868
angry,5.265,0.065,0.046,0.198,547.713,0.06,493.908,0.025,4.076,0.514,0.025,0.323,0.867
angry,5.042,-0.148,-0.011,0.065,1121.91,0.032,975.308,0.014,3.687,0.589,0.0,0.233,0.879
angry,4.724,0.566,-0.113,0.278,889.926,-0.01,916.985,0.017,2.94,0.077,0.039,0.269,0.819
angry,4.47,-0.21,0.089,0.173,408.726,0.174,670.306,0.025,2.539,0.317,0.003,0.277,0.811
angry,5.343,-0.014,-0.021,0.31,258.4,-0.0,396.386,0.017,4.744,0.258,0.0,0.195,0.848
